uri,download link,filename
https://bdebooks.com/books/durghatana-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/XsQMoKG4HWQAdYx/download,Narayan Gangopadhay Durghatana - (BdeBooks.Com).pdf
https://bdebooks.com/books/charmurti-pdf-book-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/pFLR8jjZcJCePZp/download,Charmurti by Narayan Gangopadhyay (BDeBooks.Com).pdf
https://bdebooks.com/books/chhotoder-bhalo-bhalo-galpo-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/Grty36ZCBwmXNzm/download,Chhotoder Bhalo Bhalo Galpo-Narayan Gangopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/shilalipi-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/wGGkgBbtGc2wJFk/download,Shilalipi By Narayan Gangopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/char-murtir-ovijan-pdf-book-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/QQFxnW7N8am3xso/download,Char Murtir Ovijan by Narayan Gangopadhyay (BDeBooks.Com).pdf
https://bdebooks.com/books/kombol-niruddesh-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/pLF7wY2xWc3Y2Q4/download,Kombol Niruddesh by Naraya gangopadhyay - (BdeBooks.Com).PDF
https://bdebooks.com/books/saras-galpo-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/HomfFrmLqBEYGao/download,Saras Galpo by Narayan Gangopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/gandharaj-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/48EHajk3ZzdJXi8/download,Gandharaj Galpa Grantha by Narayan Gangapadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/obyrtha-lokkhobhed-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/nnMWkyCbTnoWYir/download,Obyrtha Lakkhobhed by Narayan Gangopadhyay - (BdeBooks.Com).PDF
https://bdebooks.com/books/boitalik-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/SscCR4djkbgeYaN/download,Boitalik by Narayan Gangopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/katai-katai-by-narayan-sanyal,dl.bdebooks.com/index.php/s/TWA5xECoZdzQ92M/download,Katai_Katai_Narayan Sanyal 01 - (BdeBooks.Com).pdf
https://bdebooks.com/books/sera-ramya-charana-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/i9q4ENkRy22GHrG/download,Sera Ramya Rachana by Narayan Gangopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/buddhi-bechar-sowdagar-by-nabaneeta-dev-sen,dl.bdebooks.com/index.php/s/iHyKYD4gTGppyCa/download,Buddhi Bechar Sowdagar - Nabanita Deb Sen  (BDeBooks.Com).pdf
https://bdebooks.com/books/ekta-dupur-by-nabaneeta-dev-sen,dl.bdebooks.com/index.php/s/tHopGqPan9HcMAj/download,Ekta Dupur-BB-2018 (BDeBooks.Com).pdf
https://bdebooks.com/books/soi-by-nabaneeta-dev-sen,dl.bdebooks.com/index.php/s/fgBSmnG85fwoXff/download,Soi Ed by Nabanita Deb Sen and Suchitra Bhattacharya (BDeBooks.Com).pdf
https://bdebooks.com/books/galpogujob-by-nabaneeta-dev-sen,dl.bdebooks.com/index.php/s/Fddc6QNq2WCf4oD/download,Galpogujob by Nabanita Deb Sen (BDeBooks.Com).pdf
https://bdebooks.com/books/swanirbachita-shrestha-galpo-by-nabaneeta-dev-sen,dl.bdebooks.com/index.php/s/ofWtHcsTs9F58fL/download,Swanirbachita Shrestha Galpo by Nabanita Deb Sen (BDeBooks.Com).pdf
